Work Order Number,"Work Order: Type
Name","Work Order:
Street
Number","Work
Order:
Street
Direction","Work Order:
Street Name","Work
Order:
Street Type",Ward,"Work
Order:
Created
Time Value","Work
Order:
Completed
Time Value",Status,Work Order: Description
19-00013751,"Tree Planting -
Green Streets",60,E,OHIO,ST,42,9:00 AM,1:29 PM,Closed,APS-2 ECO ON OHIO NEAR BIG BOWL
19-00015356,"Tree Planting -
Green Streets",32,W,13TH,ST,3,1:21 PM,12:00 PM,Closed,1 PARKWAY
19-00015792,"Tree Planting -
Green Streets",37,W,13TH,ST,3,2:45 PM,12:56 PM,Closed,"1 PARKWAY, 7D"
19-01195235,"Tree Planting -
Green Streets",32,W,13TH,ST,3,11:39 AM,12:40 PM,Closed,"1P, 7D, 41ZD"
19-01195771,"Tree Planting -
Green Streets",63,E,13TH,ST,3,1:03 PM,1:04 PM,Closed,"1OP, 7D, 07CC"
19-01195893,"Tree Planting -
Green Streets",1212,W,13TH,ST,25,1:22 PM,1:22 PM,Closed,"1OP, 7D, 07CC"
19-01195912,"Tree Planting -
Green Streets",1304,W,13TH,ST,25,1:24 PM,1:25 PM,Closed,"1OP, 7D, 01ZF"
19-01195928,"Tree Planting -
Green Streets",242,E,14TH,ST,3,1:26 PM,1:26 PM,Closed,"1P, 7D, 01ZF"
19-01195948,"Tree Planting -
Green Streets",702,W,16TH,ST,11,1:28 PM,1:28 PM,Closed,"1P, 7D, 41LH, 04/25/19"
19-01195959,"Tree Planting -
Green Streets",704,W,16TH,ST,11,1:30 PM,1:30 PM,Closed,"1P, 7D, 41LH, 04/25/19"
19-01195991,"Tree Planting -
Green Streets",714,W,16TH,ST,11,1:35 PM,1:36 PM,Closed,
19-01196003,"Tree Planting -
Green Streets",1230,W,16TH,ST,25,1:37 PM,1:40 PM,Closed,
19-01196028,"Tree Planting -
Green Streets",1340,W,16TH,ST,25,1:41 PM,1:41 PM,Closed,"1P, 7D, 41LH, 04/25/19"
19-01196037,"Tree Planting -
Green Streets",1437,W,16TH,ST,25,1:42 PM,1:44 PM,Closed,"1P, 7D, 13ZG, 4/25/19"
19-01196057,"Tree Planting -
Green Streets",1631,W,17TH,ST,25,1:46 PM,1:46 PM,Closed,"1OP, 7D, 05ZA, 04/23/19"
19-01196066,"Tree Planting -
Green Streets",1647,W,17TH,ST,25,1:48 PM,1:48 PM,Closed,"1OP, 7D, 07CC, 04/23/19"
19-01196081,"Tree Planting -
Green Streets",221,E,18TH,ST,3,1:49 PM,1:50 PM,Closed,"3P, 7D, 04ZE, 04/23/19"
19-01196093,"Tree Planting -
Green Streets",280,E,18TH,ST,3,1:51 PM,1:52 PM,Closed,"1P, 7D, 32AD, 04/23/19"
19-01196103,"Tree Planting -
Green Streets",565,W,18TH,ST,11,1:53 PM,1:53 PM,Closed,"1OP, 7D, 07CC, 04/23/19"
19-01196107,"Tree Planting -
Green Streets",722,W,18TH,ST,11,1:54 PM,1:54 PM,Closed,"1OP, 7D, 04ZE, 04/23/19"
19-01196116,"Tree Planting -
Green Streets",826,W,18TH,ST,25,1:55 PM,1:56 PM,Closed,"1OP, 7D, 01ZF, 04/23/19"
19-01196123,"Tree Planting -
Green Streets",832,W,18TH,ST,25,1:56 PM,1:57 PM,Closed,"1OP, 7D, 25ZE, 04/23/19"
19-01196127,"Tree Planting -
Green Streets",1122,W,18TH,ST,25,1:58 PM,1:58 PM,Closed,"1OP, 7D, 30ZE, 04/23/19"
19-01196137,"Tree Planting -
Green Streets",1153,W,18TH,ST,25,1:59 PM,2:00 PM,Closed,"1OP, 7D, 07CC, 04/23/19"
19-01196149,"Tree Planting -
Green Streets",1239,W,18TH,ST,25,2:02 PM,2:04 PM,Closed,"1OP, 7D, 04ZE, 04/23/19"
19-01196171,"Tree Planting -
Green Streets",1441,W,18TH,ST,25,2:06 PM,2:06 PM,Closed,"1OP, 7D, 01ZF, 04/23/19"
19-01196182,"Tree Planting -
Green Streets",59,W,19TH,ST,3,2:08 PM,2:08 PM,Closed,"2OP, 7D, 41LH, 04/23/19"
19-01196193,"Tree Planting -
Green Streets",920,W,19TH,ST,25,2:09 PM,2:09 PM,Closed,"1OP, 7D, 04ZE, 04/23/19"
19-01196204,"Tree Planting -
Green Streets",1401,W,19TH,ST,25,2:11 PM,2:11 PM,Closed,"1OP, 7D, 04ZE, 04/23/19"
19-01196217,"Tree Planting -
Green Streets",116,N,ASHLAND,AVE,27,2:13 PM,2:14 PM,Closed,"2OP, 7D, 30ZE, 04/25/19"
19-01196226,"Tree Planting -
Green Streets",140,N,ASHLAND,AVE,27,2:15 PM,2:15 PM,Closed,"2OP, 7D, 01ZF, 04/25/19"
19-01196271,"Tree Planting -
Green Streets",1608,W,21ST,PL,25,2:22 PM,2:22 PM,Closed,"1P, 7D, 04ZE, 04/23/19"
19-01196282,"Tree Planting -
Green Streets",1525,W,19TH,ST,25,2:23 PM,2:23 PM,Closed,"1OP, 7D, 07CC, 04/23/19"
19-01196289,"Tree Planting -
Green Streets",967,W,21ST,ST,25,2:24 PM,2:25 PM,Closed,"1P, 7D, 32AD, 04/23/19"
19-01196307,"Tree Planting -
Green Streets",1401,W,21ST,ST,25,2:26 PM,2:26 PM,Closed,"2P, 7D, 32AD, 04/23/19"
19-01196314,"Tree Planting -
Green Streets",602,S,ASHLAND,AVE,27,2:27 PM,2:28 PM,Closed,"1OP, 7D, 30ZE, 04/25/19"
19-01196318,"Tree Planting -
Green Streets",906,N,ASHLAND,AVE,1,2:28 PM,2:29 PM,Closed,"1OP, 7D, 04ZE, 04/25/19"
19-01196325,"Tree Planting -
Green Streets",1112,S,ASHLAND,AVE,27,2:30 PM,2:30 PM,Closed,"1OP, 7D, 30ZEEE, 04/25/19"
19-01196340,"Tree Planting -
Green Streets",1357,S,BLUE ISLAND,AVE,25,2:31 PM,2:32 PM,Closed,"1OP, 7D, 32AD, 04/25/19"
19-01196344,"Tree Planting -
Green Streets",1440,S,BLUE ISLAND,AVE,25,2:33 PM,2:34 PM,Closed,"2OP, 7D, 30ZE, 04/25/19"
19-01196401,"Tree Planting -
Green Streets",3927,N,GREENVIEW,AVE,47,2:39 PM,2:40 PM,Closed,"1OP, 7D, 32AD,03/29/19 TRANSPLANT FROM 2604 W IP"
19-01196409,"Tree Planting -
Green Streets",2432,W,IRVING PARK,RD,47,2:41 PM,2:41 PM,Closed,"1OP, 7D, 32AD, 03/29/19 TRANSPLANT FROM 2604 W IP"
19-01196419,"Tree Planting -
Green Streets",3835,N,LEAVITT,ST,47,2:42 PM,2:42 PM,Closed,"1OP, 7D, 32AD, 03/29/19 TRANSPLANT FROM 2604 W IP"
19-01196423,"Tree Planting -
Green Streets",3902,N,PAULINA,ST,47,2:43 PM,2:44 PM,Closed,"1OP, 7D, 32AD, 03/29/19 TRANSPLANT FROM 2604 W IP"
19-01196432,"Tree Planting -
Green Streets",1909,W,95TH,ST,19,2:45 PM,2:45 PM,Closed,"5P, 7D, 04/22/19 TRANSPLANT FROM 1909 W 95TH ST TO
1902 W 95TH ST"
19-01196438,"Tree Planting -
Green Streets",812,W,ADDISON,ST,44,2:47 PM,2:47 PM,Closed,"2OP, 7D, 06ZB, 25ZE, 04/19/19 TRANSPLANT TO 401 W
SURF AND 521 W BELMONT"
19-01238379,"Tree Planting -
Green Streets",1313,W,13TH,ST,25,1:28 PM,1:29 PM,Closed,"1OP, 30ZE, 7D 04/25/19"
19-01238397,"Tree Planting -
Green Streets",1127,W,17TH,ST,25,1:33 PM,1:33 PM,Closed,"1OP, 41ZD, 7D 04/29/19"
19-01238410,"Tree Planting -
Green Streets",731,W,18TH,ST,11,1:34 PM,1:35 PM,Closed,"1OP, 41ZD, 7D, 05/06/19"
19-01238424,"Tree Planting -
Green Streets",20,E,21ST,ST,3,1:36 PM,1:36 PM,Closed,"1OP, 41ZD, 7D, 04/27/19"
19-01238432,"Tree Planting -
Green Streets",440,N,ABERDEEN,ST,27,1:38 PM,1:38 PM,Closed,"1OP, 04ZE, 7D, 05/06/19"
19-01238442,"Tree Planting -
Green Streets",924,W,ADAMS,ST,25,1:39 PM,1:39 PM,Closed,"7D 04/29/19 1OP, 04ZE"
19-01238450,"Tree Planting -
Green Streets",930,W,ADAMS,ST,25,1:40 PM,1:40 PM,Closed,7D 04/29/19 1OP 41ZD
19-01238460,"Tree Planting -
Green Streets",1234,W,ADAMS,ST,27,1:41 PM,1:42 PM,Closed,7D 05/06/19 1P 04ZE
19-01238582,"Tree Planting -
Green Streets",1455,W,ADAMS,ST,27,1:55 PM,1:56 PM,Closed,7D 05/06/19 1OP 41LH
19-01238592,"Tree Planting -
Green Streets",605,N,ARMOUR,ST,1,1:57 PM,1:57 PM,Closed,7D 05/06/19 1P 41LH
19-01238603,"Tree Planting -
Green Streets",1250,W,AUGUSTA,BLVD,27,1:59 PM,2:00 PM,Closed,7D 05/06/19 3P 41LH
19-01238612,"Tree Planting -
Green Streets",1124,W,BARRY,AVE,44,2:01 PM,2:02 PM,Closed,"AR, 7D, 05/07/19, 1P, 04ZE"
19-01238629,"Tree Planting -
Green Streets",1135,W,BELDEN,AVE,43,2:03 PM,2:04 PM,Closed,"AR, 7D, 05/07/19, 2OP, 04ZE"
19-01238639,"Tree Planting -
Green Streets",536,N,BISHOP,ST,1,2:05 PM,2:05 PM,Closed,"7D, 05/06/19, 1OP, 41LH"
19-01238650,"Tree Planting -
Green Streets",416,W,BLACKHAWK,ST,2,2:06 PM,2:07 PM,Closed,"7D, 05/04/19, 1P, 04ZE"
19-01238657,"Tree Planting -
Green Streets",2945,N,BROADWAY,ST,44,2:08 PM,2:08 PM,Closed,"7D, 05/07/19, 1OP, 04ZE"
19-01238676,"Tree Planting -
Green Streets",701,S,CARPENTER,ST,25,2:12 PM,2:13 PM,Closed,7D 04/29/19 1OP 07CC
19-01238688,"Tree Planting -
Green Streets",723,S,CARPENTER,ST,25,2:15 PM,2:15 PM,Closed,"7D, 04/29/19, 1OP, 05ZA"
19-01238700,"Tree Planting -
Green Streets",1906,S,CARPENTER,ST,25,2:16 PM,2:17 PM,Closed,"7D, 04/29/19, 1OP, 13ZG"
19-01238708,"Tree Planting -
Green Streets",2155,S,CARPENTER,ST,25,2:19 PM,2:19 PM,Closed,7D 04/29/19 4OP 30ZE
19-01238716,"Tree Planting -
Green Streets",242,W,CERMAK,RD,25,2:20 PM,2:20 PM,Closed,"7D, 04/29/19, 1OP, 07CC"
19-01238726,"Tree Planting -
Green Streets",1200,W,CERMAK,RD,25,2:21 PM,2:22 PM,Closed,"7D, 04/29/19, 1P, 13ZG"
19-01238734,"Tree Planting -
Green Streets",955,W,CHICAGO,AVE,27,2:23 PM,2:23 PM,Closed,"7D, 05/06/19, 1OP, 25ZE"
19-01238742,"Tree Planting -
Green Streets",1439,S,CLARK,ST,3,2:25 PM,2:25 PM,Closed,"7D 04/27/19, 1OP, 25ZE"
19-01238754,"Tree Planting -
Green Streets",1659,S,CLARK,ST,3,2:26 PM,2:26 PM,Closed,"7D 04/27/19 1P, 30ZE"
19-01238765,"Tree Planting -
Green Streets",1705,S,CLARK,ST,3,2:27 PM,2:28 PM,Closed,"7D, 04/27/19, 2 OP, 25ZE"
19-01238775,"Tree Planting -
Green Streets",3118,N,CLIFTON,AVE,44,2:29 PM,2:29 PM,Closed,"AR, 7D, 05/07/19, 1P, 32AD"
19-01238796,"Tree Planting -
Green Streets",311,N,CLINTON,ST,42,2:32 PM,2:33 PM,Closed,"7D 05/04/19 5OP, 2 30ZE, 301ZF"
19-01238810,"Tree Planting -
Green Streets",1407,S,CLINTON,ST,11,2:35 PM,2:35 PM,Closed,"7D 05/4/19 2P 04ZE
1407 AND 1409"
19-01238820,"Tree Planting -
Green Streets",3108,N,CLIFTON,AVE,44,2:37 PM,2:37 PM,Closed,7D 05/07/19 1P 04ZE
19-01245097,"Tree Planting -
Green Streets",1532,W,CULLERTON,ST,25,2:39 PM,2:43 PM,Closed,7D 04/29/19 1OP 04ZE
19-01245130,"Tree Planting -
Green Streets",180,N,DEARBORN,ST,42,2:44 PM,2:44 PM,Closed,7D 05/04/19 1OP 30ZE
19-01245145,"Tree Planting -
Green Streets",201,N,DEARBORN,ST,42,2:46 PM,2:47 PM,Closed,7D 05/04/19 2 41ZD
19-01245159,"Tree Planting -
Green Streets",1441,N,DEARBORN,ST,2,2:48 PM,2:49 PM,Closed,"7D, 05/04/19, 1P, 05ZA"
19-01245179,"Tree Planting -
Green Streets",1606,S,DEARBORN,ST,3,2:51 PM,2:52 PM,Closed,7D 04/27/19 4P 04ZE
19-01245188,"Tree Planting -
Green Streets",10,N,ELIZABETH,ST,27,2:53 PM,2:53 PM,Closed,7D 04/25/19 1P 41LH
19-01271611,"Tree Planting -
Green Streets",526,W,ADAMS,ST,42,11:25 AM,11:25 AM,Closed,7D 1OP 30ZE 05/13/19
19-01271623,"Tree Planting -
Green Streets",1001,W,ALTGELD,ST,43,11:27 AM,11:28 AM,Closed,7D 1P 13ZG 05/14/19
19-01271635,"Tree Planting -
Green Streets",1016,W,ALTGELD,ST,43,11:29 AM,11:30 AM,Closed,7D 1P 13ZG 05/14/19
19-01271647,"Tree Planting -
Green Streets",1029,W,ALTGELD,ST,43,11:31 AM,11:31 AM,Closed,7D 1P 25ZE 05/14/19
19-01271659,"Tree Planting -
Green Streets",1031,W,ALTGELD,ST,43,11:32 AM,11:33 AM,Closed,7D 1P 01AF 05/14/19
19-01271667,"Tree Planting -
Green Streets",1039,W,ALTGELD,ST,43,11:34 AM,11:35 AM,Closed,7D 1P 13AG 05/14/09
19-01271689,"Tree Planting -
Green Streets",454,W,DEMING,PL,43,11:37 AM,11:55 AM,Closed,7D 1P 41ZE 05/14/19
19-01271844,"Tree Planting -
Green Streets",1150,W,DICKENS,AVE,43,12:03 PM,12:03 PM,Closed,7D 1P 32BD 05/14/19
19-01271865,"Tree Planting -
Green Streets",1154,W,DICKENS,AVE,43,12:06 PM,12:10 PM,Closed,7D 1P 32BD 05/14/19
19-01271883,"Tree Planting -
Green Streets",1158,W,DICKENS,AVE,43,12:08 PM,12:08 PM,Closed,7D 1P 32BD 05/14/19
19-01271908,"Tree Planting -
Green Streets",10,N,ELIZABETH,ST,27,12:11 PM,12:11 PM,Closed,7D 1P 41LH 04/25/19
19-01271921,"Tree Planting -
Green Streets",58,N,ELIZABETH,ST,27,12:13 PM,12:14 PM,Closed,7D 1P 04ZE 04/25/19
19-01271944,"Tree Planting -
Green Streets",407,N,ELIZABETH,ST,27,12:16 PM,12:16 PM,Closed,"7D, 7OP, 3 30ZE, 2 01ZF, 2 25ZE, 04/25/19"
19-01271955,"Tree Planting -
Green Streets",408,N,ELIZABETH,ST,27,12:17 PM,12:17 PM,Closed,7D 4P 41LH 04/25/19
19-01271968,"Tree Planting -
Green Streets",1480,W,ERIE,ST,27,12:19 PM,12:20 PM,Closed,7D 1P 13ZG 05/06/19
19-01271983,"Tree Planting -
Green Streets",665,N,FAIRBANKS,CT,42,12:21 PM,12:23 PM,Closed,7D 1OP 13ZG 05/04/19
19-01272045,"Tree Planting -
Green Streets",1301,S,FEDERAL,ST,3,12:28 PM,12:29 PM,Closed,7D 1P 05ZA 04/27/19
19-01272054,"Tree Planting -
Green Streets",1342,S,FEDERAL,ST,3,12:29 PM,12:30 PM,Closed,7D 1P 04ZE 04/27/19
19-01272073,"Tree Planting -
Green Streets",1356,S,FEDERAL,ST,3,12:31 PM,12:32 PM,Closed,7D 1OP 04ZE 04/27/19
19-01272084,"Tree Planting -
Green Streets",1436,W,FLOURNOY,ST,28,12:33 PM,12:33 PM,Closed,7D 1P 05ZA 05/07/19
19-01272331,"Tree Planting -
Green Streets",1456,W,FLOURNOY,ST,28,1:07 PM,1:08 PM,Closed,7D 1P 05ZA 05/07/19
19-01272338,"Tree Planting -
Green Streets",50,E,GRAND,AVE,42,1:09 PM,1:09 PM,Closed,7D 1OP 30ZEEE 05/3/19
19-01272344,"Tree Planting -
Green Streets",419,W,GRAND,AVE,42,1:10 PM,1:10 PM,Closed,7D 1OP 25ZE 05/13/19
19-01272351,"Tree Planting -
Green Streets",50,N,GREEN,ST,27,1:11 PM,1:12 PM,Closed,7D 1OP 32AD 04.26.19
19-01272356,"Tree Planting -
Green Streets",209,N,GREEN,ST,27,1:13 PM,1:13 PM,Closed,"7D 1OP 30ZEEE, 04/26/19"
19-01272371,"Tree Planting -
Green Streets",1255,S,HALSTED,ST,11,1:15 PM,1:15 PM,Closed,7D 2OP 30ZEEE 05/13/19
19-01272382,"Tree Planting -
Green Streets",1800,S,HALSTED,ST,11,1:17 PM,1:17 PM,Closed,7D 1OP 25ZE 05/04/19
19-01272398,"Tree Planting -
Green Streets",2025,S,HALSTED,ST,11,1:22 PM,1:22 PM,Closed,7D 2OP 25ZE 05/04/19
19-01272589,"Tree Planting -
Green Streets",1300,W,HUBBARD,ST,27,1:52 PM,1:52 PM,Closed,7D 1OP 41LH 04/25/19
19-01272598,"Tree Planting -
Green Streets",1441,N,HUDSON,AVE,27,1:53 PM,1:53 PM,Closed,7D 1OP 04ZE 04.25.19
19-01272601,"Tree Planting -
Green Streets",1728,N,HUDSON,AVE,43,1:54 PM,1:54 PM,Closed,7D 1P 07ZC 05/14/19
19-01272613,"Tree Planting -
Green Streets",1500,N,HUMBOLDT,DR,26,1:56 PM,1:56 PM,Closed,"7D 1M 25ZE, 05/07/19"
19-01272621,"Tree Planting -
Green Streets",77,W,HURON,ST,42,1:57 PM,1:58 PM,Closed,7D 2OP 01ZF 05/04/19
19-01273191,"Tree Planting -
Green Streets",151,E,HURON,ST,42,3:31 PM,3:32 PM,Closed,7D 2OP 25ZE 05/04/19
19-01273208,"Tree Planting -
Green Streets",910,W,HURON,ST,27,3:33 PM,3:34 PM,Closed,"7D 1OP 30ZEEE, 05/13/19"
19-01273227,"Tree Planting -
Green Streets",1323,W,HURON,ST,1,3:35 PM,3:36 PM,Closed,7D 2OP 01ZF 05/06/19
19-01273276,"Tree Planting -
Green Streets",1400,W,HURON,ST,27,3:40 PM,3:41 PM,Closed,7D 1P 25ZE 04/25/19
19-01273286,"Tree Planting -
Green Streets",1427,W,HURON,ST,27,3:42 PM,3:42 PM,Closed,7D 1P 05ZA 04/25/19
19-01277044,"Tree Planting -
Green Streets",1356,S,INDIANA,AVE,3,12:50 PM,12:51 PM,Closed,7D 2OP 41ZD 04/27/19
19-01277062,"Tree Planting -
Green Streets",1600,S,INDIANA,AVE,3,12:53 PM,12:54 PM,Closed,7D 07CC 1OP 04/27/19
19-01277075,"Tree Planting -
Green Streets",2037,S,INDIANA,AVE,3,12:54 PM,1:04 PM,Closed,7D 1OP 05ZA 05/04/19
19-01277093,"Tree Planting -
Green Streets",1352,W,KINZIE,ST,27,12:56 PM,12:57 PM,Closed,"7D 4OP 2 01ZF, 2 07CC 04/25/19"
19-01277115,"Tree Planting -
Green Streets",708,S,LAFLIN,ST,28,12:59 PM,1:00 PM,Closed,7D 1OP 41ZD 05/07/19
19-01277133,"Tree Planting -
Green Streets",615,W,LAKE,ST,42,1:02 PM,1:03 PM,Closed,7D 1OP 41ZD 05/13/19
19-01277150,"Tree Planting -
Green Streets",5363,W,LAWRENCE,AVE,45,1:05 PM,1:05 PM,Closed,7D  3P 04ZE 05/13/19
19-01277176,"Tree Planting -
Green Streets",1805,S,LOOMIS,ST,25,1:09 PM,1:10 PM,Closed,"7D, 2OP, 2 01ZF, 04/29/19"
19-01277181,"Tree Planting -
Green Streets",2024,S,LOOMIS,ST,25,1:11 PM,1:12 PM,Closed,7D 1OP 04ZE 05/04/19
19-01277205,"Tree Planting -
Green Streets",540,W,MADISON,ST,42,1:15 PM,1:15 PM,Closed,7D 2OP 30ZEEE 05/13/19
19-01277214,"Tree Planting -
Green Streets",800,W,MADISON,ST,27,1:16 PM,1:17 PM,Closed,7D 1OP 30ZE 05/13/19
19-01277226,"Tree Planting -
Green Streets",850,W,MADISON,ST,27,1:18 PM,1:19 PM,Closed,7D 1OP 13ZG 04/26/19
19-01277260,"Tree Planting -
Green Streets",907,W,MADISON,ST,25,1:23 PM,1:24 PM,Closed,7D 1P 05ZA 04/26/19
19-01277279,"Tree Planting -
Green Streets",1332,W,MADISON,ST,27,1:25 PM,1:26 PM,Closed,7D 1OP 01ZF 04/26/19
19-01277313,"Tree Planting -
Green Streets",4505,N,MANOR,AVE,33,1:29 PM,1:32 PM,Closed,7D 2P 41ZD 05/13/19
19-01277357,"Tree Planting -
Green Streets",4140,N,MARINE,DR,46,1:33 PM,1:34 PM,Closed,7D 4OP 01ZF 05/07/19
19-01277369,"Tree Planting -
Green Streets",1901,N,MAUD,AVE,43,1:35 PM,1:35 PM,Closed,7D 1P 01AF 05/14/19
19-01277390,"Tree Planting -
Green Streets",842,N,MAY,ST,27,1:36 PM,1:38 PM,Closed,7D 2P 05ZA 05/06/19
19-01277436,"Tree Planting -
Green Streets",1239,W,MELROSE,ST,44,1:41 PM,1:42 PM,Closed,7D 1P 02FB 05/14/19
19-01277472,"Tree Planting -
Green Streets",532,S,MICHIGAN,AVE,42,1:46 PM,1:46 PM,Closed,7D 2OP 07CC 05/04/19
19-01277488,"Tree Planting -
Green Streets",757,N,MICHIGAN,AVE,2,1:48 PM,1:58 PM,Closed,7D 1OP 01ZF 05/04/19
19-01293721,"Tree Planting -
Green Streets",1319,S,MICHIGAN,AVE,3,3:07 PM,3:08 PM,Closed,7D 1OP 25ZE 04/27/19
19-01293734,"Tree Planting -
Green Streets",1355,S,MICHIGAN,AVE,3,3:09 PM,3:10 PM,Closed,7D 1OP 30ZEEE 04/27/19
19-01293743,"Tree Planting -
Green Streets",1915,S,MICHIGAN,AVE,3,3:10 PM,3:11 PM,Closed,7D 07CC 1OP 05/04/19
19-01293751,"Tree Planting -
Green Streets",2007,S,MICHIGAN,AVE,3,3:12 PM,3:13 PM,Closed,7D 07CC 1OP 05/04/19
19-01293760,"Tree Planting -
Green Streets",836,S,MILLER,ST,25,3:13 PM,3:14 PM,Closed,7D 1OP 04ZE 05/4/19
19-01293762,"Tree Planting -
Green Streets",1252,N,MILWAUKEE,AVE,1,3:15 PM,3:15 PM,Closed,7D 1OP 01ZF 05/07/19
19-01293768,"Tree Planting -
Green Streets",1266,N,MILWAUKEE,AVE,1,3:17 PM,3:17 PM,Closed,7D 1OP 25ZE 05/07/19
19-01293781,"Tree Planting -
Green Streets",1371,N,MILWAUKEE,AVE,1,3:18 PM,3:19 PM,Closed,7D 1OP 30ZEEE 05/13/19
19-01293827,"Tree Planting -
Green Streets",1701,N,MILWAUKEE,AVE,32,3:23 PM,3:24 PM,Closed,"2FM REQUEST, 7D, RAISED PLANTERS, 28ZG, 05/07/19"
19-01293835,"Tree Planting -
Green Streets",1301,N,MOHAWK,ST,2,3:25 PM,3:25 PM,Closed,7D 1OP 41ZD 05/04/19
19-01293848,"Tree Planting -
Green Streets",932,W,MONROE,ST,25,3:27 PM,3:29 PM,Closed,7D 1P 2ND WEST OF SANGAMON 07CC 04/29/19
19-01293858,"Tree Planting -
Green Streets",950,W,MONROE,ST,25,3:29 PM,3:30 PM,Closed,7D 1 OP 30ZEEE 04/29/19
19-01293866,"Tree Planting -
Green Streets",954,W,MONROE,ST,25,3:31 PM,3:32 PM,Closed,7D 1P 30ZEEE 04/29/19
19-01293871,"Tree Planting -
Green Streets",948,W,MONTANA,ST,43,3:33 PM,3:33 PM,Closed,7D 1P 13AG 05/14/19
19-01293878,"Tree Planting -
Green Streets",1046,W,MONTANA,ST,43,3:34 PM,3:35 PM,Closed,7D 2P 07ZC 05/14/19
19-01293885,"Tree Planting -
Green Streets",1051,W,MONTANA,ST,43,3:35 PM,3:37 PM,Closed,7D 2P 01AF 05/14/19
19-01293894,"Tree Planting -
Green Streets",345,N,MORGAN,ST,27,3:38 PM,3:38 PM,Closed,7D 1OP 01ZF 05/06/19
19-01293910,"Tree Planting -
Green Streets",1040,W,NEWPORT,AVE,44,3:39 PM,3:40 PM,Closed,7D 1P 04ZE 05/14/19
19-01293919,"Tree Planting -
Green Streets",429,N,NOBLE,ST,27,3:41 PM,3:41 PM,Closed,7D 1OP 01ZF 04/26/19
19-01293948,"Tree Planting -
Green Streets",1345,N,"NORTH
BRANCH",ST,27,3:45 PM,3:45 PM,Closed,7D 1OP 32AD 05/06/19
19-01293965,"Tree Planting -
Green Streets",430,N,OGDEN,AVE,27,3:46 PM,3:47 PM,Closed,"7D 4OP 2 25ZE, 2 04ZE 04/26/19"
19-01293972,"Tree Planting -
Green Streets",303,E,OHIO,ST,42,3:47 PM,3:48 PM,Closed,7D 4OP 30ZEEE 05/04/19
19-01302718,"Tree Planting -
Green Streets",1148,W,CHICAGO,AVE,27,12:35 PM,12:36 PM,Closed,7D 1OP 30ZE 05/24/19
19-01302726,"Tree Planting -
Green Streets",1255,W,DIVISION,ST,27,12:36 PM,12:37 PM,Closed,7D 2OP 01ZF 05/24/19
19-01302734,"Tree Planting -
Green Streets",1231,W,DIVISION,ST,27,12:37 PM,12:38 PM,Closed,7D 1OP 25ZE 05/24/19
19-01302801,"Tree Planting -
Green Streets",1376,W,HUBBARD,ST,1,12:44 PM,12:46 PM,Closed,7D 1OP 41ZD 05/24/19
19-01302850,"Tree Planting -
Green Streets",851,S,LYTLE,ST,28,12:49 PM,12:50 PM,Closed,7D 1P 04ZE 05/24/19
19-01302964,"Tree Planting -
Green Streets",1100,W,MADISON,ST,25,1:03 PM,1:03 PM,Closed,7D 1OP ON ABERDEEN 04ZE 05/24/19
19-01302969,"Tree Planting -
Green Streets",843,N,MAY,ST,27,1:04 PM,1:04 PM,Closed,7D 1P 04ZE 05/24/19
19-01302981,"Tree Planting -
Green Streets",1229,N,"NORTH
BRANCH",ST,27,1:06 PM,1:06 PM,Closed,7D 1OP 32AD 05/24/19
19-01302998,"Tree Planting -
Green Streets",1147,W,OHIO,ST,27,1:08 PM,1:09 PM,Closed,7D 1OP 41ZD 05/06/19
19-01303022,"Tree Planting -
Green Streets",1602,W,OHIO,ST,1,1:10 PM,1:11 PM,Closed,7D 1P 01ZF 05/06/19
19-01303038,"Tree Planting -
Green Streets",25,N,PAULINA,ST,27,1:11 PM,1:14 PM,Closed,7D 1P 41ZD 05/24/19
19-01303070,"Tree Planting -
Green Streets",660,N,PEORIA,ST,27,1:15 PM,1:15 PM,Closed,7D 1OP 04ZE 05/06/19
19-01303102,"Tree Planting -
Green Streets",663,N,PEORIA,ST,27,1:17 PM,1:17 PM,Closed,7D 2OP 07CC 05/06/19
19-01303120,"Tree Planting -
Green Streets",1511,S,PEORIA,ST,11,1:18 PM,1:18 PM,Closed,7D 3P 05ZA 05/04/19
19-01303126,"Tree Planting -
Green Streets",1801,S,PEORIA,ST,11,1:19 PM,1:20 PM,Closed,7D 2OP ON 18TH ST 25ZE 05/04/19
19-01303139,"Tree Planting -
Green Streets",1213,S,PLYMOUTH,CT,3,1:21 PM,1:21 PM,Closed,7D 1P 04ZE 04/27/19
19-01303152,"Tree Planting -
Green Streets",1243,S,PLYMOUTH,CT,3,1:22 PM,1:22 PM,Closed,7D 1P 04ZE 04/27/19
19-01303164,"Tree Planting -
Green Streets",1249,S,PLYMOUTH,CT,3,1:23 PM,1:23 PM,Closed,7D 1P 04ZE 04/27/19
19-01303174,"Tree Planting -
Green Streets",53,W,POLK,ST,4,1:24 PM,1:25 PM,Closed,7D 1OP 07CC 05/04/19
19-01303200,"Tree Planting -
Green Streets",1323,S,PRAIRIE,AVE,3,1:27 PM,1:28 PM,Closed,7D 2P 05ZA 04/25/19 1323 AND 1325 S PRAIRE
19-01303214,"Tree Planting -
Green Streets",1433,S,PRAIRIE,AVE,3,1:29 PM,1:30 PM,Closed,"7D 5P, 2 01ZF 3 07CC ALTERNATE 04/27/19"
