"",Green Streets,60641,,10:10 AM,10:10 AM,,Green Streets,
"",,COOK,,,,,,
10-00042194,Tree Planting -,"5347 W ADDISON ST , CHICAGO, IL,",30-Ward,"Jan 11, 2010","OCT 28, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,60641,,10:11 AM,10:11 AM,,Green Streets,
"",,COOK,,,,,,
10-00042203,Tree Planting -,"6616 W ADDISON ST , CHICAGO, IL,",38-Ward,"Jan 11, 2010","OCT 28, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,60634,,10:11 AM,10:11 AM,,Green Streets,
"",,COOK,,,,,,
10-00042210,Tree Planting -,"7012 W ADDISON ST , CHICAGO, IL,",38-Ward,"Jan 11, 2010","OCT 28, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,60634,,10:12 AM,10:12 AM,,Green Streets,
"",,COOK,,,,,,
10-00042228,Tree Planting -,"4462 W DEVON AVE , CHICAGO, IL,",0-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,3 06ZB TURFCARE
"",Green Streets,0,,10:12 AM,10:13 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-00042242,Tree Planting -,"4331 W DEVON AVE , CHICAGO, IL,",39-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,60646,,10:13 AM,10:14 AM,,Green Streets,
"",,COOK,,,,,,
10-00042249,Tree Planting -,"4253 W DEVON AVE , CHICAGO, IL,",39-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,60646,,10:14 AM,10:14 AM,,Green Streets,
"",,COOK,,,,,,
10-00042260,Tree Planting -,"4232 W DEVON AVE , CHICAGO, IL,",0-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,2 25ZF TURFCARE
"",Green Streets,0,,10:14 AM,10:15 AM,,Green Streets,
"",,COOK,,,,,,
10-00042266,Tree Planting -,"4225 W DEVON AVE , CHICAGO, IL,",39-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,60646,,10:15 AM,10:15 AM,,Green Streets,
"",,COOK,,,,,,
10-00042276,Tree Planting -,"4213 W DEVON AVE , CHICAGO, IL,",39-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,06ZB TURFCARE
"",Green Streets,60646,,10:16 AM,10:16 AM,,Green Streets,
"",,COOK,,,,,,
10-00042286,Tree Planting -,"4201 W DEVON AVE , CHICAGO, IL,",39-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,60646,,10:16 AM,10:16 AM,,Green Streets,
"",,COOK,,,,,,
10-00042290,Tree Planting -,"4155 W DEVON AVE , CHICAGO, IL,",39-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,60646,,10:17 AM,10:17 AM,,Green Streets,
"",,COOK,,,,,,
10-00042296,Tree Planting -,"4117 W DEVON AVE , CHICAGO, IL,",39-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,3 25ZF TURFCARE
"",Green Streets,60646,,10:17 AM,10:18 AM,,Green Streets,
"",,COOK,,,,,,
10-00042303,Tree Planting -,"4047 W DEVON AVE , CHICAGO, IL,",39-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,60646,,10:18 AM,10:18 AM,,Green Streets,
"",,COOK,,,,,,
10-00042309,Tree Planting -,"1110 W ADDISON ST , CHICAGO, IL,",44-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,60613,,10:18 AM,10:19 AM,,Green Streets,
"",,COOK,,,,,,
10-00042317,Tree Planting -,"1351 W ADDISON ST , CHICAGO, IL,",44-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,60613,,10:19 AM,10:19 AM,,Green Streets,
"",,COOK,,,,,,
10-00042345,Tree Planting -,"2530 W ADDISON ST , CHICAGO, IL,",47-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,3 01ZF TURFCARE
"",Green Streets,60618,,10:20 AM,10:21 AM,,Green Streets,
"",,COOK,,,,,,
10-00042352,Tree Planting -,"2548 W ADDISON ST , CHICAGO, IL,",47-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,60618,,10:21 AM,10:21 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-00042365,Tree Planting -,"2550 W ADDISON ST , CHICAGO, IL,",47-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,60618,,10:22 AM,10:22 AM,,Green Streets,
"",,COOK,,,,,,
10-00042375,Tree Planting -,"2608 W ADDISON ST , CHICAGO, IL,",47-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,60618,,10:22 AM,10:23 AM,,Green Streets,
"",,COOK,,,,,,
10-00042453,Tree Planting -,"4266 W ADDISON ST , CHICAGO, IL,",45-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,06ZB TURFCARE
"",Green Streets,60641,,10:27 AM,10:28 AM,,Green Streets,
"",,COOK,,,,,,
10-00042530,Tree Planting -,"4268 W ADDISON ST , CHICAGO, IL,",45-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,60641,,10:32 AM,10:32 AM,,Green Streets,
"",,COOK,,,,,,
10-00042544,Tree Planting -,"4524 W ADDISON ST , CHICAGO, IL,",45-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,60641,,10:32 AM,10:32 AM,,Green Streets,
"",,COOK,,,,,,
10-00042558,Tree Planting -,"2914 W FULLERTON AVE ,",1-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,06ZB TURFCARE
"",Green Streets,"CHICAGO, IL, 60647",,10:33 AM,10:33 AM,,Green Streets,
"",,COOK,,,,,,
10-00042571,Tree Planting -,"3112 W FULLERTON AVE ,",32-Ward,"Jan 11, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"CHICAGO, IL, 60647",,10:34 AM,10:34 AM,,Green Streets,
"",,COOK,,,,,,
10-00047822,Tree Planting -,"2914 W FULLERTON AVE ,",1-Ward,"Jan 12, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,06ZB TURFCARE
"",Green Streets,"CHICAGO, IL, 60647",,08:17 AM,08:18 AM,,Green Streets,
"",,COOK,,,,,,
10-00047828,Tree Planting -,"3112 W FULLERTON AVE ,",32-Ward,"Jan 12, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"CHICAGO, IL, 60647",,08:18 AM,08:19 AM,,Green Streets,
"",,COOK,,,,,,
10-00047858,Tree Planting -,"3114 W FULLERTON AVE ,",32-Ward,"Jan 12, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,"CHICAGO, IL, 60647",,08:22 AM,08:22 AM,,Green Streets,
"",,COOK,,,,,,
10-00047861,Tree Planting -,"3121 W FULLERTON AVE ,",32-Ward,"Jan 12, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"CHICAGO, IL, 60647",,08:22 AM,08:22 AM,,Green Streets,
"",,COOK,,,,,,
10-00047864,Tree Planting -,"3715 W FULLERTON AVE ,",35-Ward,"Jan 12, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"CHICAGO, IL, 60647",,08:23 AM,08:23 AM,,Green Streets,
"",,COOK,,,,,,
10-00047866,Tree Planting -,"4612 W FULLERTON AVE ,",31-Ward,"Jan 12, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"CHICAGO, IL, 60639",,08:23 AM,08:23 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-00047871,Tree Planting -,"4801 W FULLERTON AVE ,",31-Ward,"Jan 12, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"CHICAGO, IL, 60639",,08:24 AM,08:24 AM,,Green Streets,
"",,COOK,,,,,,
10-00047878,Tree Planting -,"4849 W FULLERTON AVE ,",31-Ward,"Jan 12, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,4 13ZG TURFCARE
"",Green Streets,"CHICAGO, IL, 60639",,08:24 AM,08:25 AM,,Green Streets,
"",,COOK,,,,,,
10-00047883,Tree Planting -,"5013 W FULLERTON AVE ,",36-Ward,"Jan 12, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,06ZB TURFCARE
"",Green Streets,"CHICAGO, IL, 60639",,08:25 AM,08:25 AM,,Green Streets,
"",,COOK,,,,,,
10-00047886,Tree Planting -,"5023 W FULLERTON AVE ,",36-Ward,"Jan 12, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"CHICAGO, IL, 60639",,08:25 AM,08:25 AM,,Green Streets,
"",,COOK,,,,,,
10-00047889,Tree Planting -,"5112 W FULLERTON AVE ,",31-Ward,"Jan 12, 2010","OCT 27, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,"CHICAGO, IL, 60639",,08:26 AM,08:26 AM,,Green Streets,
"",,COOK,,,,,,
10-00047892,Tree Planting -,"4910 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"IL, 60639",,08:27 AM,08:27 AM,,Green Streets,
"",,COOK,,,,,,
10-00047902,Tree Planting -,"4881 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60639",,08:28 AM,08:28 AM,,Green Streets,
"",,COOK,,,,,,
10-00047904,Tree Planting -,"4841 W ARMITAGE AVE , CHICAGO,",36-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"IL, 60639",,08:28 AM,08:29 AM,,Green Streets,
"",,COOK,,,,,,
10-00047910,Tree Planting -,"4324 W ARMITAGE AVE , CHICAGO,",35-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"IL, 60639",,08:29 AM,08:30 AM,,Green Streets,
"",,COOK,,,,,,
10-00047913,Tree Planting -,"3635 W ARMITAGE AVE , CHICAGO,",26-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,"IL, 60647",,08:30 AM,08:30 AM,,Green Streets,
"",,COOK,,,,,,
10-00047916,Tree Planting -,"3627 W ARMITAGE AVE , CHICAGO,",26-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60647",,08:30 AM,08:31 AM,,Green Streets,
"",,COOK,,,,,,
10-00047919,Tree Planting -,"3618 W ARMITAGE AVE , CHICAGO,",26-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,06ZB TURFCARE
"",Green Streets,"IL, 60647",,08:31 AM,08:31 AM,,Green Streets,
"",,COOK,,,,,,
10-00047922,Tree Planting -,"3546 W ARMITAGE AVE , CHICAGO,",26-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"IL, 60647",,08:31 AM,08:32 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
10-00047932,Tree Planting -,"3100 W ARMITAGE AVE , CHICAGO,",32-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60647",,08:32 AM,08:32 AM,,Green Streets,
"",,COOK,,,,,,
10-00047936,Tree Planting -,"3004 W ARMITAGE AVE , CHICAGO,",32-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,"IL, 60647",,08:32 AM,08:33 AM,,Green Streets,
"",,COOK,,,,,,
10-00047951,Tree Planting -,"2800 W ARMITAGE AVE , CHICAGO,",1-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60647",,08:33 AM,08:33 AM,,Green Streets,
"",,COOK,,,,,,
10-00047964,Tree Planting -,"2735 W ARMITAGE AVE , CHICAGO,",1-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,06ZB TURFCARE
"",Green Streets,"IL, 60647",,08:33 AM,08:34 AM,,Green Streets,
"",,COOK,,,,,,
10-00047983,Tree Planting -,"3827 W ARMITAGE AVE , CHICAGO,",26-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"IL, 60647",,08:35 AM,08:35 AM,,Green Streets,
"",,COOK,,,,,,
10-00047986,Tree Planting -,"2658 W ARMITAGE AVE , CHICAGO,",1-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"IL, 60647",,08:36 AM,08:36 AM,,Green Streets,
"",,COOK,,,,,,
10-00047991,Tree Planting -,"2605 W ARMITAGE AVE , CHICAGO,",1-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60647",,08:36 AM,08:36 AM,,Green Streets,
"",,COOK,,,,,,
10-00047995,Tree Planting -,"2156 W BELMONT AVE , CHICAGO,",32-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"IL, 60618",,08:37 AM,08:37 AM,,Green Streets,
"",,COOK,,,,,,
10-00047999,Tree Planting -,"2126 W BELMONT AVE , CHICAGO,",32-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"IL, 60618",,08:37 AM,08:37 AM,,Green Streets,
"",,COOK,,,,,,
10-00048002,Tree Planting -,"2124 W BELMONT AVE , CHICAGO,",32-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,"IL, 60618",,08:38 AM,08:38 AM,,Green Streets,
"",,COOK,,,,,,
10-00048005,Tree Planting -,"2111 W BELMONT AVE , CHICAGO,",32-Ward,"Jan 12, 2010","OCT 26, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60618",,08:38 AM,08:38 AM,,Green Streets,
"",,COOK,,,,,,
10-00048039,Tree Planting -,"4813 W BELMONT AVE , CHICAGO,",31-Ward,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,4 25ZF TURFCARE
"",Green Streets,"IL, 60641",,08:43 AM,08:44 AM,,Green Streets,
"",,COOK,,,,,,
10-00048050,Tree Planting -,"4914 W BELMONT AVE , CHICAGO,",31-Ward,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60641",,08:44 AM,08:45 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location Area,,Created Date,Activity Date,Status,Group,Description
10-00048052,Tree Planting -,"4914 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60641",,08:45 AM,08:45 AM,,Green Streets,
"",,COOK,,,,,,
10-00048058,Tree Planting -,"4935 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,2 13ZG TURFCARE
"",Green Streets,"IL, 60641",,08:46 AM,08:46 AM,,Green Streets,
"",,COOK,,,,,,
10-00048064,Tree Planting -,"4949 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,2 06ZB TURFCARE
"",Green Streets,"IL, 60641",,08:46 AM,08:47 AM,,Green Streets,
"",,COOK,,,,,,
10-00048246,Tree Planting -,"4949 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,2 06ZB TURFCARE
"",Green Streets,"IL, 60641",,08:48 AM,09:11 AM,,Green Streets,
"",,COOK,,,,,,
10-00048279,Tree Planting -,"3801 W GLADYS AVE , CHICAGO, IL, 28-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,4 32NC 7D
"",Green Streets,60624,,09:14 AM,09:16 AM,,Green Streets,
"",,COOK,,,,,,
10-00048284,Tree Planting -,"3802 W GLADYS AVE , CHICAGO, IL, 28-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,3 32PC 7D
"",Green Streets,60624,,09:16 AM,09:17 AM,,Green Streets,
"",,COOK,,,,,,
10-00048288,Tree Planting -,"3857 W GLADYS AVE , CHICAGO, IL, 28-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,3 25ZF 7D
"",Green Streets,60624,,09:17 AM,09:17 AM,,Green Streets,
"",,COOK,,,,,,
10-00048295,Tree Planting -,"3858 W GLADYS AVE , CHICAGO, IL, 28-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,60624,,09:18 AM,09:18 AM,,Green Streets,
"",,COOK,,,,,,
10-00048299,Tree Planting -,"4006 W GLADYS AVE , CHICAGO, IL, 28-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,60624,,09:18 AM,09:18 AM,,Green Streets,
"",,COOK,,,,,,
10-00048306,Tree Planting -,"4126 W GLADYS AVE , CHICAGO, IL, 28-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,60624,,09:19 AM,09:19 AM,,Green Streets,
"",,COOK,,,,,,
10-00048326,Tree Planting -,"4156 W GLADYS AVE , CHICAGO, IL, 28-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,1 32PC 7D
"",Green Streets,60624,,09:20 AM,09:20 AM,,Green Streets,
"",,COOK,,,,,,
10-00048334,Tree Planting -,"4157 W GLADYS AVE , CHICAGO, IL, 28-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,2 01ZF 7D
"",Green Streets,60624,,09:20 AM,09:21 AM,,Green Streets,
"",,COOK,,,,,,
10-00048340,Tree Planting -,"4158 W GLADYS AVE , CHICAGO, IL, 28-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,2 08JD 7D
"",Green Streets,60624,,09:21 AM,09:21 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location Area,,Created Date,Activity Date,Status,Group,Description
10-00048357,Tree Planting -,"4452 W GLADYS AVE , CHICAGO, IL, 28-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,3 25ZF 7D
"",Green Streets,60624,,09:23 AM,09:23 AM,,Green Streets,
"",,COOK,,,,,,
10-00048361,Tree Planting -,"4501 W GLADYS AVE , CHICAGO, IL, 28-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,3 13ZG 7D
"",Green Streets,60624,,09:23 AM,09:23 AM,,Green Streets,
"",,COOK,,,,,,
10-00048366,Tree Planting -,"5007 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,2 01ZF TURFCARE
"",Green Streets,"IL, 60641",,09:23 AM,09:24 AM,,Green Streets,
"",,COOK,,,,,,
10-00048378,Tree Planting -,"4502 W GLADYS AVE , CHICAGO, IL, 28-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,3 08JD 7D
"",Green Streets,60624,,09:24 AM,09:24 AM,,Green Streets,
"",,COOK,,,,,,
10-00048383,Tree Planting -,"5026 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,2 25ZF TURFCARE
"",Green Streets,"IL, 60641",,09:25 AM,09:25 AM,,Green Streets,
"",,COOK,,,,,,
10-00048390,Tree Planting -,"5027 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60641",,09:25 AM,09:25 AM,,Green Streets,
"",,COOK,,,,,,
10-00048392,Tree Planting -,"1955 W DIVISION ST , CHICAGO, IL, 1-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,1 01ZF 7D
"",Green Streets,60622,,09:25 AM,09:25 AM,,Green Streets,
"",,COOK,,,,,,
10-00048397,Tree Planting -,"2002 W DIVISION ST , CHICAGO, IL, 1-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,1 01ZF 7D
"",Green Streets,60622,,09:26 AM,09:26 AM,,Green Streets,
"",,COOK,,,,,,
10-00048398,Tree Planting -,"5049 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"IL, 60641",,09:26 AM,09:26 AM,,Green Streets,
"",,COOK,,,,,,
10-00048406,Tree Planting -,"5049 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"IL, 60641",,09:26 AM,09:27 AM,,Green Streets,
"",,COOK,,,,,,
10-00048408,Tree Planting -,"2206 W DIVISION ST , CHICAGO, IL, 1-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,60622,,09:26 AM,09:27 AM,,Green Streets,
"",,COOK,,,,,,
10-00048413,Tree Planting -,"5108 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,2 06ZB TURFCARE
"",Green Streets,"IL, 60641",,09:27 AM,09:27 AM,,Green Streets,
"",,COOK,,,,,,
10-00048416,Tree Planting -,"3100 W DOUGLAS BLVD , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,"IL, 60623",,09:27 AM,09:27 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location Area,,Created Date,Activity Date,Status,Group,Description
10-00048420,Tree Planting -,"5134 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60641",,09:27 AM,09:28 AM,,Green Streets,
"",,COOK,,,,,,
10-00048424,Tree Planting -,"3104 W DOUGLAS BLVD , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,"IL, 60623",,09:28 AM,09:28 AM,,Green Streets,
"",,COOK,,,,,,
10-00048432,Tree Planting -,"5228 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,"IL, 60641",,09:28 AM,09:28 AM,,Green Streets,
"",,COOK,,,,,,
10-00048435,Tree Planting -,"3106 W DOUGLAS BLVD , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,"IL, 60623",,09:28 AM,09:29 AM,,Green Streets,
"",,COOK,,,,,,
10-00048440,Tree Planting -,"5929 W BELMONT AVE , CHICAGO, 30-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,2 01ZF TURFCARE
"",Green Streets,"IL, 60634",,09:29 AM,09:29 AM,,Green Streets,
"",,COOK,,,,,,
10-00048442,Tree Planting -,"3108 W DOUGLAS BLVD , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,1 25ZF 7D
"",Green Streets,"IL, 60623",,09:29 AM,09:29 AM,,Green Streets,
"",,COOK,,,,,,
10-00048447,Tree Planting -,"7064 W BELMONT AVE , CHICAGO, 29-Ward",,"Jan 12, 2010","OCT 21, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"IL, 60634",,09:29 AM,09:30 AM,,Green Streets,
"",,COOK,,,,,,
10-00048452,Tree Planting -,"3118 W DOUGLAS BLVD , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,1 08JD 7D
"",Green Streets,"IL, 60623",,09:29 AM,09:30 AM,,Green Streets,
"",,COOK,,,,,,
10-00048467,Tree Planting -,"2305 W BELMONT AVE , CHICAGO, 32-Ward",,"Jan 12, 2010","OCT 20, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60618",,09:31 AM,09:32 AM,,Green Streets,
"",,COOK,,,,,,
10-00048468,Tree Planting -,"2308 W BELMONT AVE , CHICAGO, 32-Ward",,"Jan 12, 2010","OCT 20, 2009",Completed,Bureau of Forestry -,01ZF TURFCARE
"",Green Streets,"IL, 60618",,09:32 AM,09:32 AM,,Green Streets,
"",,COOK,,,,,,
10-00048474,Tree Planting -,"4131 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 20, 2009",Completed,Bureau of Forestry -,13ZG TURFCARE
"",Green Streets,"IL, 60641",,09:33 AM,09:33 AM,,Green Streets,
"",,COOK,,,,,,
10-00048480,Tree Planting -,"3202 W DOUGLAS BLVD , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,"3202 - 3254 DOUGLAS, 5 08JD,"
"",Green Streets,"IL, 60623",,09:32 AM,09:33 AM,,Green Streets,"5 01ZF, 2 25ZF, 7D"
"",,COOK,,,,,,
10-00048487,Tree Planting -,"4201 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 20, 2009",Completed,Bureau of Forestry -,4 01ZF TURFCARE
"",Green Streets,"IL, 60641",,09:33 AM,09:34 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location Area,,Created Date,Activity Date,Status,Group,Description
10-00048491,Tree Planting -,"4549 W BELMONT AVE , CHICAGO, 31-Ward",,"Jan 12, 2010","OCT 20, 2009",Completed,Bureau of Forestry -,25ZF TURFCARE
"",Green Streets,"IL, 60641",,09:34 AM,09:34 AM,,Green Streets,
"",,COOK,,,,,,
10-00048492,Tree Planting -,"3304 W DOUGLAS BLVD , CHICAGO, 24-Ward",,"Jan 12, 2010","NOV 10, 2009",Completed,Bureau of Forestry -,"3304 - 3350 DOUGLAS, 1 25ZF,"
