sr_number,type,raw_location,area,created_date,activity_date,status,group,description,address,ward
08-01961419,Tree Planting - Green Streets,"5651 N BROADWAY , CHICAGO, IL, 48-Ward 60660 COOK",,"Sep 26, 2008 10:33 AM","OCT 10, 2008 09:08 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF 7D,5651 N BROADWAY,48-Ward
08-01961430,Tree Planting - Green Streets,"1130 W BRYN MAWR AVE , 48-Ward CHICAGO, IL, 60660 COOK",,"Sep 26, 2008 10:34 AM","OCT 14, 2008 09:08 AM",Completed,Bureau of Forestry - Green Streets,1OP 06ZB ALADDIN,1130 W BRYN MAWR AVE,48-Ward
08-01961440,Tree Planting - Green Streets,"3836 W BYRON ST , CHICAGO, IL, 45-Ward 60618 COOK",,"Sep 26, 2008 10:35 AM","OCT 14, 2008 09:09 AM",Completed,Bureau of Forestry - Green Streets,3P 32OC ALADDIN,3836 W BYRON ST,45-Ward
08-01961451,Tree Planting - Green Streets,"3856 W BYRON ST , CHICAGO, IL, 45-Ward 60618 COOK",,"Sep 26, 2008 10:35 AM","OCT 14, 2008 09:09 AM",Completed,Bureau of Forestry - Green Streets,2P 07ZC ALADDIN,3856 W BYRON ST,45-Ward
08-01961462,Tree Planting - Green Streets,"1601 W CARMEN AVE , CHICAGO, 40-Ward IL, 60640 COOK",,"Sep 26, 2008 10:36 AM","OCT 27, 2008 09:11 AM",Completed,Bureau of Forestry - Green Streets,1P 07ZC 7D,1601 W CARMEN AVE,40-Ward
08-01961476,Tree Planting - Green Streets,"1604 W CATALPA AVE , CHICAGO, 40-Ward IL, 60640 COOK",,"Sep 26, 2008 10:37 AM","OCT 27, 2008 09:14 AM",Completed,Bureau of Forestry - Green Streets,3P 07ZC 7D PLANTED 2 ON 10.25.08 AND 1 ON 10.27.08,1604 W CATALPA AVE,40-Ward
08-01961490,Tree Planting - Green Streets,"1202 W CHASE AVE , CHICAGO, IL, 49-Ward 60626 COOK",,"Sep 26, 2008 10:37 AM","OCT 14, 2008 09:36 AM",Completed,Bureau of Forestry - Green Streets,1P 320C ALADDIN,1202 W CHASE AVE,49-Ward
08-01961510,Tree Planting - Green Streets,"611 W CHICAGO AVE , CHICAGO, IL, 42-Ward 60610 COOK",,"Sep 26, 2008 10:38 AM","OCT 04, 2008 09:39 AM",Completed,Bureau of Forestry - Green Streets,1OP 01TF ALADDIN,611 W CHICAGO AVE,42-Ward
08-01961564,Tree Planting - Green Streets,"4239 N CLARK ST , CHICAGO, IL, 46-Ward 60613 COOK",,"Sep 26, 2008 10:41 AM","OCT 27, 2008 09:49 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF 7D,4239 N CLARK ST,46-Ward
08-01961579,Tree Planting - Green Streets,"4328 N CLARK ST , CHICAGO, IL, 47-Ward 60613 COOK",,"Sep 26, 2008 10:41 AM","OCT 27, 2008 09:54 AM",Completed,Bureau of Forestry - Green Streets,2OP 25ZF 7D,4328 N CLARK ST,47-Ward
08-01961591,Tree Planting - Green Streets,"5338 N CLARK ST , CHICAGO, IL, 40-Ward 60640 COOK",,"Sep 26, 2008 10:42 AM","OCT 25, 2008 09:54 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF 7D,5338 N CLARK ST,40-Ward
08-01961606,Tree Planting - Green Streets,"5668 N CLARK ST , CHICAGO, IL, 60660 COOK",40-Ward,"Sep 26, 2008 10:42 AM","OCT 24, 2008 09:55 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF 7D,5668 N CLARK ST,40-Ward
08-01961626,Tree Planting - Green Streets,"5957 N CLARK ST , CHICAGO, IL, 60660 COOK",48-Ward,"Sep 26, 2008 10:43 AM","OCT 24, 2008 09:55 AM",Completed,Bureau of Forestry - Green Streets,3NCO 25ZF 7D,5957 N CLARK ST,48-Ward
08-01961634,Tree Planting - Green Streets,"5967 N CLARK ST , CHICAGO, IL, 60660 COOK",48-Ward,"Sep 26, 2008 10:44 AM","NOV 16, 2009 01:27 PM",Completed,Bureau of Forestry - Green Streets,3NCO,5967 N CLARK ST,48-Ward
08-01961644,Tree Planting - Green Streets,"5961 N CLARK ST , CHICAGO, IL, 60660 COOK",48-Ward,"Sep 26, 2008 10:44 AM","NOV 16, 2009 01:27 PM",Completed,Bureau of Forestry - Green Streets,3NCO,5961 N CLARK ST,48-Ward
08-01961654,Tree Planting - Green Streets,"5971 N CLARK ST , CHICAGO, IL, 60660 COOK",48-Ward,"Sep 26, 2008 10:45 AM","OCT 24, 2008 09:56 AM",Completed,Bureau of Forestry - Green Streets,2NCO 25ZF 7D,5971 N CLARK ST,48-Ward
08-01961664,Tree Planting - Green Streets,"6150 N CLARK ST , CHICAGO, IL, 60660 COOK",40-Ward,"Sep 26, 2008 10:45 AM","OCT 24, 2008 10:08 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF 7D,6150 N CLARK ST,40-Ward
08-01961674,Tree Planting - Green Streets,"6544 N CLARK ST , CHICAGO, IL, 60626 COOK",40-Ward,"Sep 26, 2008 10:46 AM","OCT 24, 2008 10:10 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF 7D,6544 N CLARK ST,40-Ward
08-01961683,Tree Planting - Green Streets,"6553 N CLARK ST , CHICAGO, IL, 60626 COOK",40-Ward,"Sep 26, 2008 10:46 AM","OCT 24, 2008 10:10 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF 7D,6553 N CLARK ST,40-Ward
08-01961692,Tree Planting - Green Streets,"6701 N CLARK ST , CHICAGO, IL, 60626 COOK",49-Ward,"Sep 26, 2008 10:47 AM","OCT 24, 2008 10:10 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF 7D,6701 N CLARK ST,49-Ward
08-01961718,Tree Planting - Green Streets,"6901 N CLARK ST , CHICAGO, IL, 60626 COOK",49-Ward,"Sep 26, 2008 10:48 AM","OCT 07, 2008 10:11 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF 7D,6901 N CLARK ST,49-Ward
08-01961766,Tree Planting - Green Streets,"7301 N CLARK ST , CHICAGO, IL, 60626 COOK",49-Ward,"Sep 26, 2008 10:51 AM","OCT 07, 2008 10:11 AM",Completed,Bureau of Forestry - Green Streets,2P 25ZF 7D,7301 N CLARK ST,49-Ward
08-01961774,Tree Planting - Green Streets,"7302 N CLARK ST , CHICAGO, IL, 60626 COOK",49-Ward,"Sep 26, 2008 10:51 AM","OCT 07, 2008 10:12 AM",Completed,Bureau of Forestry - Green Streets,2OP 25ZF 7D,7302 N CLARK ST,49-Ward
08-01961780,Tree Planting - Green Streets,"1205 W COLUMBIA AVE , CHICAGO, IL, 60626 COOK",49-Ward,"Sep 26, 2008 10:52 AM","OCT 14, 2008 10:17 AM",Completed,Bureau of Forestry - Green Streets,1P 25ZF ALADDIN,1205 W COLUMBIA AVE,49-Ward
08-01961787,Tree Planting - Green Streets,"1641 W COLUMBIA AVE , CHICAGO, IL, 60626 COOK",49-Ward,"Sep 26, 2008 10:52 AM","OCT 24, 2008 10:18 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF 7D,1641 W COLUMBIA AVE,49-Ward
08-01961794,Tree Planting - Green Streets,"1642 W COLUMBIA AVE , CHICAGO, IL, 60626 COOK",49-Ward,"Sep 26, 2008 10:52 AM","OCT 24, 2008 10:18 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF 7D,1642 W COLUMBIA AVE,49-Ward
08-01961831,Tree Planting - Green Streets,"4031 S COTTAGE GROVE AVE , CHICAGO, IL, 60653 COOK",4-Ward,"Sep 26, 2008 10:54 AM","OCT 21, 2008 10:24 AM",Completed,Bureau of Forestry - Green Streets,1P 06ZB TURFCARE,4031 S COTTAGE GROVE AVE,4-Ward
08-01961839,Tree Planting - Green Streets,"4119 S COTTAGE GROVE AVE , CHICAGO, IL, 60653 COOK",4-Ward,"Sep 26, 2008 10:56 AM","OCT 16, 2008 10:24 AM",Completed,Bureau of Forestry - Green Streets,2P 07ZC TURFCARE,4119 S COTTAGE GROVE AVE,4-Ward
08-01961847,Tree Planting - Green Streets,"4137 S COTTAGE GROVE AVE , CHICAGO, IL, 60653 COOK",4-Ward,"Sep 26, 2008 10:56 AM","OCT 16, 2008 10:24 AM",Completed,Bureau of Forestry - Green Streets,1P 07ZC TURFCARE,4137 S COTTAGE GROVE AVE,4-Ward
08-01961851,Tree Planting - Green Streets,"4348 S COTTAGE GROVE AVE , CHICAGO, IL, 60653 COOK",4-Ward,"Sep 26, 2008 10:57 AM","OCT 14, 2008 10:25 AM",Completed,Bureau of Forestry - Green Streets,1OP 06ZB TURFCARE,4348 S COTTAGE GROVE AVE,4-Ward
08-01961862,Tree Planting - Green Streets,"4355 S COTTAGE GROVE AVE , CHICAGO, IL, 60653 COOK",4-Ward,"Sep 26, 2008 10:57 AM","OCT 14, 2008 10:25 AM",Completed,Bureau of Forestry - Green Streets,1OP 01TF TURFCARE,4355 S COTTAGE GROVE AVE,4-Ward
08-01961871,Tree Planting - Green Streets,"4531 S COTTAGE GROVE AVE , CHICAGO, IL, 60653 COOK",4-Ward,"Sep 26, 2008 10:58 AM","OCT 22, 2008 10:26 AM",Completed,Bureau of Forestry - Green Streets,1OP 01TF TURFCARE,4531 S COTTAGE GROVE AVE,4-Ward
08-01961881,Tree Planting - Green Streets,"4558 S COTTAGE GROVE AVE , CHICAGO, IL, 60653 COOK",4-Ward,"Sep 26, 2008 10:58 AM","OCT 14, 2008 10:27 AM",Completed,Bureau of Forestry - Green Streets,1P 07ZC TURFCARE,4558 S COTTAGE GROVE AVE,4-Ward
08-01961887,Tree Planting - Green Streets,"4658 S COTTAGE GROVE AVE , CHICAGO, IL, 60653 COOK",4-Ward,"Sep 26, 2008 10:59 AM","OCT 14, 2008 10:28 AM",Completed,Bureau of Forestry - Green Streets,2OP 01TF TURFCARE,4658 S COTTAGE GROVE AVE,4-Ward
08-01961922,Tree Planting - Green Streets,"4703 S COTTAGE GROVE AVE , CHICAGO, IL, 60615 COOK",4-Ward,"Sep 26, 2008 11:02 AM","OCT 14, 2008 10:28 AM",Completed,Bureau of Forestry - Green Streets,1P 07ZC TURFCARE,4703 S COTTAGE GROVE AVE,4-Ward
08-01961948,Tree Planting - Green Streets,"4715 S COTTAGE GROVE AVE , CHICAGO, IL, 60615 COOK",4-Ward,"Sep 26, 2008 11:03 AM","OCT 14, 2008 10:28 AM",Completed,Bureau of Forestry - Green Streets,2P 01TF TURFCARE,4715 S COTTAGE GROVE AVE,4-Ward
08-01961955,Tree Planting - Green Streets,"4729 S COTTAGE GROVE AVE , CHICAGO, IL, 60615 COOK",4-Ward,"Sep 26, 2008 11:04 AM","OCT 14, 2008 10:29 AM",Completed,Bureau of Forestry - Green Streets,1P 06ZB TURFCARE,4729 S COTTAGE GROVE AVE,4-Ward
08-01961958,Tree Planting - Green Streets,"4733 S COTTAGE GROVE AVE , CHICAGO, IL, 60615 COOK",4-Ward,"Sep 26, 2008 11:04 AM","OCT 14, 2008 10:29 AM",Completed,Bureau of Forestry - Green Streets,3P 01TF TURFCARE,4733 S COTTAGE GROVE AVE,4-Ward
08-01961968,Tree Planting - Green Streets,"4741 S COTTAGE GROVE AVE , CHICAGO, IL, 60615 COOK",4-Ward,"Sep 26, 2008 11:05 AM","OCT 14, 2008 10:30 AM",Completed,Bureau of Forestry - Green Streets,3P 01TF TURFCARE,4741 S COTTAGE GROVE AVE,4-Ward
08-01961976,Tree Planting - Green Streets,"4758 S COTTAGE GROVE AVE , CHICAGO, IL, 60615 COOK",4-Ward,"Sep 26, 2008 11:05 AM","OCT 13, 2008 10:30 AM",Completed,Bureau of Forestry - Green Streets,3P 06ZB TURFCARE,4758 S COTTAGE GROVE AVE,4-Ward
08-01961978,Tree Planting - Green Streets,"4759 S COTTAGE GROVE AVE , CHICAGO, IL, 60615 COOK",4-Ward,"Sep 26, 2008 11:05 AM","OCT 13, 2008 10:30 AM",Completed,Bureau of Forestry - Green Streets,4P 07ZC TURFCARE,4759 S COTTAGE GROVE AVE,4-Ward
08-01961984,Tree Planting - Green Streets,"4802 S COTTAGE GROVE AVE , CHICAGO, IL, 60615 COOK",4-Ward,"Sep 26, 2008 11:06 AM","OCT 13, 2008 10:31 AM",Completed,Bureau of Forestry - Green Streets,2P 01TF TURFCARE,4802 S COTTAGE GROVE AVE,4-Ward
08-01961988,Tree Planting - Green Streets,"4525 N DAMEN AVE , CHICAGO, IL, 60625 COOK",47-Ward,"Sep 26, 2008 11:06 AM","OCT 14, 2008 10:41 AM",Completed,Bureau of Forestry - Green Streets,1P 32OC ALADDIN,4525 N DAMEN AVE,47-Ward
08-01962008,Tree Planting - Green Streets,"4545 N DAMEN AVE , CHICAGO, IL, 60625 COOK",47-Ward,"Sep 26, 2008 11:08 AM","OCT 14, 2008 10:42 AM",Completed,Bureau of Forestry - Green Streets,2P 32OC ALADDIN,4545 N DAMEN AVE,47-Ward
08-01962013,Tree Planting - Green Streets,"1524 W DEVON AVE , CHICAGO, IL, 60660 COOK",40-Ward,"Sep 26, 2008 11:08 AM","OCT 14, 2008 10:59 AM",Completed,Bureau of Forestry - Green Streets,1OP 06ZB ALADDIN,1524 W DEVON AVE,40-Ward
08-01962021,Tree Planting - Green Streets,"4105 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:09 AM","OCT 06, 2008 11:02 AM",Completed,Bureau of Forestry - Green Streets,2M 25ZF TURFCARE,4105 W DEVON AVE,39-Ward
08-01962027,Tree Planting - Green Streets,"4111 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:10 AM","OCT 06, 2008 11:02 AM",Completed,Bureau of Forestry - Green Streets,2M 25ZF TURFCARE,4111 W DEVON AVE,39-Ward
08-01962042,Tree Planting - Green Streets,"4135 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:11 AM","OCT 06, 2008 11:03 AM",Completed,Bureau of Forestry - Green Streets,1M 25ZF TURFCARE,4135 W DEVON AVE,39-Ward
08-01962049,Tree Planting - Green Streets,"4241 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:12 AM","OCT 06, 2008 11:03 AM",Completed,Bureau of Forestry - Green Streets,1M 07ZC TURFCARE,4241 W DEVON AVE,39-Ward
08-01962060,Tree Planting - Green Streets,"4251 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:12 AM","OCT 06, 2008 11:04 AM",Completed,Bureau of Forestry - Green Streets,1M 07ZC TURFCARE,4251 W DEVON AVE,39-Ward
08-01962070,Tree Planting - Green Streets,"4305 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:13 AM","OCT 06, 2008 11:04 AM",Completed,Bureau of Forestry - Green Streets,3M 07ZC TURFCARE,4305 W DEVON AVE,39-Ward
08-01962075,Tree Planting - Green Streets,"4317 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:13 AM","OCT 06, 2008 11:05 AM",Completed,Bureau of Forestry - Green Streets,1M 01TF TURFCARE,4317 W DEVON AVE,39-Ward
08-01962081,Tree Planting - Green Streets,"4327 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:14 AM","OCT 06, 2008 11:05 AM",Completed,Bureau of Forestry - Green Streets,1M 01TF TURFCARE,4327 W DEVON AVE,39-Ward
08-01962090,Tree Planting - Green Streets,"4455 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:14 AM","OCT 06, 2008 11:05 AM",Completed,Bureau of Forestry - Green Streets,1M 01TF TURFCARE,4455 W DEVON AVE,39-Ward
08-01962096,Tree Planting - Green Streets,"4458 W DEVON AVE , CHICAGO, IL, 0 COOK",0-Ward,"Sep 26, 2008 11:14 AM","OCT 07, 2008 11:06 AM",Completed,Bureau of Forestry - Green Streets,1M 01TF TURFCARE,4458 W DEVON AVE,0-Ward
08-01962105,Tree Planting - Green Streets,"4459 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:15 AM","OCT 06, 2008 11:06 AM",Completed,Bureau of Forestry - Green Streets,1M 01TF TURFCARE,4459 W DEVON AVE,39-Ward
08-01962114,Tree Planting - Green Streets,"4503 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:16 AM","OCT 06, 2008 11:07 AM",Completed,Bureau of Forestry - Green Streets,1M 01TF TURFCARE,4503 W DEVON AVE,39-Ward
08-01962123,Tree Planting - Green Streets,"4509 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:16 AM","OCT 06, 2008 11:07 AM",Completed,Bureau of Forestry - Green Streets,1M 01TF TURFCARE,4509 W DEVON AVE,39-Ward
08-01962144,Tree Planting - Green Streets,"4717 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:18 AM","OCT 06, 2008 11:07 AM",Completed,Bureau of Forestry - Green Streets,1M 01TF TURFCARE,4717 W DEVON AVE,39-Ward
08-01962151,Tree Planting - Green Streets,"5003 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:19 AM","OCT 06, 2008 11:08 AM",Completed,Bureau of Forestry - Green Streets,1M 07ZC TURFCARE,5003 W DEVON AVE,39-Ward
08-01962172,Tree Planting - Green Streets,"5009 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:20 AM","OCT 06, 2008 11:08 AM",Completed,Bureau of Forestry - Green Streets,2M 25ZF TURFCARE,5009 W DEVON AVE,39-Ward
08-01962186,Tree Planting - Green Streets,"5017 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:20 AM","OCT 06, 2008 11:08 AM",Completed,Bureau of Forestry - Green Streets,2M 01TF TURFCARE,5017 W DEVON AVE,39-Ward
08-01962194,Tree Planting - Green Streets,"5041 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:21 AM","OCT 06, 2008 11:09 AM",Completed,Bureau of Forestry - Green Streets,2M 07ZC TURFCARE,5041 W DEVON AVE,39-Ward
08-01962214,Tree Planting - Green Streets,"5049 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:22 AM","OCT 06, 2008 11:09 AM",Completed,Bureau of Forestry - Green Streets,1M 25ZF TURFCARE,5049 W DEVON AVE,39-Ward
08-01962216,Tree Planting - Green Streets,"5108 W DEVON AVE , CHICAGO, IL, 60646 COOK",41-Ward,"Sep 26, 2008 11:23 AM","OCT 06, 2008 11:11 AM",Completed,Bureau of Forestry - Green Streets,3M 07ZC TURFCARE,5108 W DEVON AVE,41-Ward
08-01962220,Tree Planting - Green Streets,"5112 W DEVON AVE , CHICAGO, IL, 60646 COOK",41-Ward,"Sep 26, 2008 11:23 AM","OCT 06, 2008 11:11 AM",Completed,Bureau of Forestry - Green Streets,1M 25ZF TURFCARE,5112 W DEVON AVE,41-Ward
08-01962231,Tree Planting - Green Streets,"5129 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:23 AM","OCT 06, 2008 07:29 AM",Completed,Bureau of Forestry - Green Streets,1M 01tf turfcare,5129 W DEVON AVE,39-Ward
08-01962239,Tree Planting - Green Streets,"5141 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:24 AM","OCT 06, 2008 07:29 AM",Completed,Bureau of Forestry - Green Streets,1M 01TF TURFCARE,5141 W DEVON AVE,39-Ward
08-01962247,Tree Planting - Green Streets,"5161 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:24 AM","OCT 06, 2008 07:30 AM",Completed,Bureau of Forestry - Green Streets,2M 01TD TURFCARE,5161 W DEVON AVE,39-Ward
08-01962257,Tree Planting - Green Streets,"5205 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:25 AM","OCT 06, 2008 07:30 AM",Completed,Bureau of Forestry - Green Streets,1M 25ZF TURFCARE,5205 W DEVON AVE,39-Ward
08-01962286,Tree Planting - Green Streets,"5211 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:27 AM","OCT 06, 2008 07:30 AM",Completed,Bureau of Forestry - Green Streets,2M 01TF TURFCARE,5211 W DEVON AVE,39-Ward
08-01962294,Tree Planting - Green Streets,"5221 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:28 AM","OCT 06, 2008 07:31 AM",Completed,Bureau of Forestry - Green Streets,3M 25ZF TURFCARE,5221 W DEVON AVE,39-Ward
08-01962305,Tree Planting - Green Streets,"5249 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:28 AM","OCT 06, 2008 07:31 AM",Completed,Bureau of Forestry - Green Streets,2M 01TF TURFCARE,5249 W DEVON AVE,39-Ward
08-01962313,Tree Planting - Green Streets,"5251 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 11:28 AM","OCT 06, 2008 07:31 AM",Completed,Bureau of Forestry - Green Streets,1M 25ZF TURFCARE,5251 W DEVON AVE,39-Ward
08-01963114,Tree Planting - Green Streets,"5259 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 12:28 PM","OCT 06, 2008 07:31 AM",Completed,Bureau of Forestry - Green Streets,3M 01TF TURFCARE,5259 W DEVON AVE,39-Ward
08-01963119,Tree Planting - Green Streets,"5261 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 12:28 PM","OCT 06, 2008 07:32 AM",Completed,Bureau of Forestry - Green Streets,1M 01TF TURFCARE,5261 W DEVON AVE,39-Ward
08-01963125,Tree Planting - Green Streets,"5313 W DEVON AVE , CHICAGO, IL, 60646 COOK",39-Ward,"Sep 26, 2008 12:29 PM","OCT 06, 2008 07:32 AM",Completed,Bureau of Forestry - Green Streets,2M 25ZF TURFCARE,5313 W DEVON AVE,39-Ward
08-01963129,Tree Planting - Green Streets,"4558 S DREXEL BLVD , CHICAGO, IL, 60653 COOK",4-Ward,"Sep 26, 2008 12:29 PM","OCT 14, 2008 07:33 AM",Completed,Bureau of Forestry - Green Streets,4P 06ZB TURFCARE,4558 S DREXEL BLVD,4-Ward
08-01963136,Tree Planting - Green Streets,"4608 S DREXEL BLVD , CHICAGO, IL, 60653 COOK",4-Ward,"Sep 26, 2008 12:30 PM","OCT 14, 2008 07:33 AM",Completed,Bureau of Forestry - Green Streets,5P 01TF TURFCARE,4608 S DREXEL BLVD,4-Ward
08-01963155,Tree Planting - Green Streets,"605 W FOSTER DR , CHICAGO, IL, 60640 COOK",48-Ward,"Sep 26, 2008 12:32 PM","OCT 16, 2008 07:41 AM",Completed,Bureau of Forestry - Green Streets,3P 25ZF TURFCARE,605 W FOSTER DR,48-Ward
08-01963164,Tree Planting - Green Streets,"1143 W GRANVILLE AVE , CHICAGO, IL, 60660 COOK",48-Ward,"Sep 26, 2008 12:32 PM","OCT 14, 2008 02:46 PM",Completed,Bureau of Forestry - Green Streets,2OP 06ZB ALADDIN,1143 W GRANVILLE AVE,48-Ward
08-01963187,Tree Planting - Green Streets,"1202 W HOLLYWOOD AVE , CHICAGO, IL, 60660 COOK",48-Ward,"Sep 26, 2008 12:34 PM","OCT 14, 2008 02:53 PM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF ALADDIN,1202 W HOLLYWOOD AVE,48-Ward
08-01963195,Tree Planting - Green Streets,"1602 W HOLLYWOOD AVE , CHICAGO, IL, 60660 COOK",40-Ward,"Sep 26, 2008 12:34 PM","OCT 24, 2008 02:53 PM",Completed,Bureau of Forestry - Green Streets,2P 06DB 7D,1602 W HOLLYWOOD AVE,40-Ward
08-01963207,Tree Planting - Green Streets,"736 W IRVING PARK RD , CHICAGO, IL, 60613 COOK",46-Ward,"Sep 26, 2008 12:35 PM","OCT 20, 2008 02:57 PM",Completed,Bureau of Forestry - Green Streets,2OP 01TF TURFCARE,736 W IRVING PARK RD,46-Ward
08-01963218,Tree Planting - Green Streets,"1110 W IRVING PARK RD , CHICAGO, IL, 60613 COOK",46-Ward,"Sep 26, 2008 12:36 PM","OCT 09, 2008 02:58 PM",Completed,Bureau of Forestry - Green Streets,3OP 01TF TURFCARE,1110 W IRVING PARK RD,46-Ward
08-01963222,Tree Planting - Green Streets,"1907 W IRVING PARK RD , CHICAGO, IL, 60613 COOK",47-Ward,"Sep 26, 2008 12:36 PM","NOV 05, 2008 07:13 AM",Completed,Bureau of Forestry - Green Streets,1OP,1907 W IRVING PARK RD,47-Ward
08-01963233,Tree Planting - Green Streets,"1922 W IRVING PARK RD , CHICAGO, IL, 60613 COOK",47-Ward,"Sep 26, 2008 12:37 PM","OCT 20, 2008 02:58 PM",Completed,Bureau of Forestry - Green Streets,1OP 01TF TURFCARE,1922 W IRVING PARK RD,47-Ward
08-01963239,Tree Planting - Green Streets,"2833 W IRVING PARK RD , CHICAGO, IL, 60618 COOK",33-Ward,"Sep 26, 2008 12:37 PM","OCT 09, 2008 02:58 PM",Completed,Bureau of Forestry - Green Streets,1OP 01TF TURFCARE,2833 W IRVING PARK RD,33-Ward
08-01963249,Tree Planting - Green Streets,"2845 W IRVING PARK RD , CHICAGO, IL, 60618 COOK",33-Ward,"Sep 26, 2008 12:38 PM","OCT 09, 2008 02:59 PM",Completed,Bureau of Forestry - Green Streets,1OP 01TF TURFCARE,2845 W IRVING PARK RD,33-Ward
08-01963259,Tree Planting - Green Streets,"2933 W IRVING PARK RD , CHICAGO, IL, 60618 COOK",33-Ward,"Sep 26, 2008 12:38 PM","OCT 09, 2008 02:59 PM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF TURFCARE,2933 W IRVING PARK RD,33-Ward
08-01963269,Tree Planting - Green Streets,"3009 W IRVING PARK RD , CHICAGO, IL, 60618 COOK",33-Ward,"Sep 26, 2008 12:39 PM","OCT 07, 2008 02:59 PM",Completed,Bureau of Forestry - Green Streets,1OP 01TF TURFCARE,3009 W IRVING PARK RD,33-Ward
08-01963282,Tree Planting - Green Streets,"3046 W IRVING PARK RD , CHICAGO, IL, 60618 COOK",33-Ward,"Sep 26, 2008 12:39 PM","OCT 09, 2008 08:41 AM",Completed,Bureau of Forestry - Green Streets,1OP 01TF TURFCARE,3046 W IRVING PARK RD,33-Ward
08-01963288,Tree Planting - Green Streets,"3043 W IRVING PARK RD , CHICAGO, IL, 60618 COOK",33-Ward,"Sep 26, 2008 12:40 PM","NOV 26, 2008 08:43 AM",Completed,Bureau of Forestry - Green Streets,,3043 W IRVING PARK RD,33-Ward
08-01963292,Tree Planting - Green Streets,"3053 W IRVING PARK RD , CHICAGO, IL, 60618 COOK",33-Ward,"Sep 26, 2008 12:40 PM","OCT 07, 2008 08:43 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF TURFCARE,3053 W IRVING PARK RD,33-Ward
08-01963299,Tree Planting - Green Streets,"3100 W IRVING PARK RD , CHICAGO, IL, 60618 COOK",33-Ward,"Sep 26, 2008 12:41 PM","OCT 07, 2008 08:44 AM",Completed,Bureau of Forestry - Green Streets,1OP 25ZF TURFCARE,3100 W IRVING PARK RD,33-Ward
08-01963303,Tree Planting - Green Streets,"3215 W IRVING PARK RD , CHICAGO, IL, 60618 COOK",33-Ward,"Sep 26, 2008 12:41 PM","OCT 07, 2008 08:44 AM",Completed,Bureau of Forestry - Green Streets,1OP 01TF TURFCARE,3215 W IRVING PARK RD,33-Ward
